title,price,publisher,pages,author
Different from the Others (Anders als die Andern),22.77,Labadie Inc,18,Marthena Markova
"Take, The",225.55,Emard-Kerluke,221,Garvey Elliott
American Strays,217.77,"Russel, Schaden and Ratke",264,Beryl Caddell
Dylan Dog: Dead of Night,163.82,Flatley-Rippin,249,Alleen Hornbuckle
Airbag,195.32,Labadie-Ritchie,231,Rich Swinley
Bachelorette,256.31,Von LLC,180,Graeme Jozsa
American Boy: A Profile of: Steven Prince,117.07,"King, Quitzon and O'Reilly",248,Franz Fieller
Straw Dogs,218.57,Lynch LLC,86,Dare Heaford
Pompeii,292.0,Wilderman-Mertz,86,Kristin Benettelli
New Jersey Drive,163.86,"Schneider, Adams and Spinka",201,Matthias Rosgen
Joe,146.36,"Hintz, Nienow and O'Kon",36,Melamie Yule
Prince of Persia: The Sands of Time,66.56,"Balistreri, Klocko and Schimmel",115,Vergil Sines
Wagner's Dream,159.17,"Mills, Jerde and Balistreri",54,Cornell MacCaffrey
127 Hours,214.13,"Auer, Miller and Breitenberg",189,Elka Jermyn
Walk Hard: The Dewey Cox Story,31.3,"Gusikowski, Dickens and Wilkinson",237,Andras Rossant
"Notebook, The (A nagy füzet)",125.68,Haley Inc,158,Eadie Reinhart
"Good Morning, Miss Dove",18.75,"Gerhold, Kirlin and Gislason",484,Melessa Dilleway
Barren Lives (Vidas Secas),288.35,"Ernser, Weber and Heaney",2,Manya Crickmore
Liberty Stands Still,126.73,"Green, Lockman and Ruecker",499,Shermy Kelledy
And God Created Woman (Et Dieu... créa la femme),65.0,Dibbert Inc,211,Ludvig Thomsson
Moonwalker,142.68,"Wuckert, Roob and Witting",330,Ringo Kid
Those Daring Young Men in Their Jaunty Jalopies,93.96,Turner Inc,269,Hadria Auston
Carmen Miranda: Bananas Is My Business,113.68,Quitzon-Klein,118,Andra Presshaugh
La Putain du roi,129.91,Harvey Group,396,Sharline Rawle
"Tree of Knowledge, The (Kundskabens træ)",151.47,Tillman Inc,410,Sandor Francesch
North (Nord),144.13,"Abshire, Bogisich and McClure",395,Dalt Sammars
This Is My Life,237.74,"Klocko, Doyle and Gorczany",443,Caryl Rayne
Vares: The Path of the Righteous Men (Vares - Kaidan tien kulkijat),62.94,Orn LLC,487,Karee Longland
Lucifer Rising,109.9,Farrell LLC,487,Bradley Perle
Geri's Game,272.24,Wuckert and Sons,199,Arlena Sallan
Godzilla vs. Megalon (Gojira tai Megaro),44.62,"Runte, Wolff and Nader",262,Charley Batteson
Larry Crowne,171.89,Robel-Waters,421,Dorita Marchington
Godspeed You! Black Emperor,150.35,Predovic and Sons,257,Peterus Haine
Neverland,247.09,"Funk, Stracke and Ondricka",63,Trefor McGall
"Amityville Curse, The",42.77,"Parisian, Wiza and Cummings",204,Inglebert Simionato
Deep Sea 3D,139.48,Schmitt Inc,132,Amabel Magowan
Our Modern Maidens,139.44,Morar-Streich,177,Patin Saleway
"Claire's Knee (Genou de Claire, Le)",152.06,"Homenick, Howell and Adams",256,Jennee Scotchbrook
King of Beggars (Mo jong yuen So Hat-Yi),168.9,Thiel Group,259,Bili Guerrin
Jerry and Tom,179.56,Steuber LLC,70,Lulu McVanamy
"Truth About Love, The",10.39,Zieme and Sons,63,Angeli Kevern
Jackass 2.5,246.91,Bayer Inc,461,Sybila McLelland
I'll Be There,173.92,Cormier Inc,263,Travis Abbotson
Action in the North Atlantic,267.03,Lynch-Reilly,297,Maiga Pischoff
"Promised Life, The (Vie promise, La)",220.96,Walter-Roob,120,Regan Spataro
Hotel Rwanda,238.61,Murphy-Lakin,83,Yolanda Cheine
"Oh, Susanna!",244.86,"Breitenberg, Brekke and Franecki",281,Annabel Iveson
Village of the Damned,235.46,"Kreiger, Zemlak and King",84,Allsun Boffin
To Catch a Thief,89.5,"Braun, O'Kon and Stark",41,Christoph Irvine
God Help the Girl,126.1,Heller-Zulauf,407,Prudence Sallnow
Sour Grapes,203.4,"McDermott, Turner and DuBuque",79,Rosalind Dally
Three Stars,42.12,Parisian Group,341,Markus Littrik
"Second Chance, The",27.58,Howe LLC,238,Kaye Westmorland
Eyes of Laura Mars,60.41,Nikolaus-Mills,258,Giles Trusler
Unknown White Male,120.08,Hamill and Sons,43,Benito Sone
Border Feud,209.68,"Reinger, Hyatt and Johnston",160,Ashlen Hiom
Boyz N the Hood,141.73,Moore-Howe,357,Michelina Tysall
Virus X,19.22,Brekke and Sons,73,Darcee Mose
Without Love,214.34,Kerluke-Jacobson,307,Norine Salmond
Veronica Guerin,12.01,Sawayn and Sons,474,Natala Theseira
Léolo,12.37,"Braun, Durgan and Sanford",477,Tamarra Yaxley
Our Daily Bread (Unser täglich Brot),33.22,Luettgen Group,166,Jolie Byway
"Caveman's Valentine, The",4.51,Zieme LLC,323,Esta Robrow
Calendar Girl,182.51,Lindgren-Greenfelder,32,Ursula Eaglen
Career Girls,74.61,Jones LLC,15,Jose Coleford
Citadel,164.58,O'Hara-Mraz,318,Shaine Spreckley
Race to Witch Mountain,51.02,"Armstrong, Schaden and Lehner",217,Ruthy McFetrich
"Trigger Effect, The",191.71,"Carroll, Kuhlman and Bernier",104,Jemmie Havenhand
Ghost Rider: Spirit of Vengeance,129.69,Mayer and Sons,31,Angelica Kidder
Ulysses' Gaze (To Vlemma tou Odyssea),184.16,"Jerde, Smitham and Gislason",463,Joyous Orrock
Two Solutions for One Problem (Dow Rahehal Baraye yek Massaleh),155.86,Hoppe Inc,95,Maurizia Branca
Samurai Fiction (SF: Episode One),88.05,Crist and Sons,219,Brynn Gooderidge
Daybreak,266.92,Bashirian Group,298,Bruce McGarrahan
Raising Cain,107.26,Nader Inc,358,Karine Routley
"Burning Bed, The",45.64,Emmerich-Boyle,284,Cloris Coady
Peeping Tom,221.11,Ledner-Senger,58,Stanleigh Chettle
"Other Side of Sunday, The (Søndagsengler)",250.78,Beahan Group,140,Rozalie Mair
Demonic,2.72,"Hartmann, Hand and Anderson",301,Janean Maylam
If These Walls Could Talk 2,208.69,Littel-Hoeger,235,Pippo Halleday
"Brats, The (Les gamins)",146.74,"Champlin, Strosin and Tromp",266,Saul Goundsy
"Rare Breed, The",87.42,Heidenreich LLC,426,Smitty Durram
Cosmic Psychos: Blokes You Can Trust,278.38,Grady Group,7,Gib Attiwill
Undisputed,21.74,"Casper, Haley and Hackett",28,Rae Stoltz
"Swamp, The (Ciénaga, La)",124.6,Quitzon Inc,235,Charlie Troyes
"Man, The",30.21,Torphy LLC,291,Babs Duncombe
Benny & Joon,157.19,Ankunding-Douglas,349,Abbey Davydkov
Chantilly Lace,285.58,Kutch and Sons,103,Michaeline Amos
"Greatest Show on Earth, The",168.36,Schowalter-Batz,114,Ettore Finlaison
Safe,31.72,Walker-Collins,163,Conrad Quigley
Listen to Your Heart,74.35,Mann-Armstrong,53,Teddi Earie
"Ballad of Nessie, The",258.95,"Schumm, Swift and Kirlin",193,Wilbert Cornfield
Tall Story,286.13,Reynolds-Hirthe,329,Brett Peal
Medicine for Melancholy,28.56,Christiansen-Maggio,101,Wynn Malimoe
Black Dragons,206.4,Runte-Heaney,254,Iorgo Clowser
Innocent Voices (Voces inocentes),269.51,Hahn Inc,408,Skyler Charlotte
12 Dates of Christmas,155.57,"MacGyver, Kessler and Emmerich",424,Lil O'Farrell
My Life in Orange (Sommer in Orange),50.86,Bins-Abernathy,132,Jenny Bruckstein
Albert Nobbs,24.35,Connelly LLC,412,Bernice Swinney
Cause for Alarm!,76.23,"O'Hara, Rohan and Zboncak",467,Rickie Heild
"Goodbye, Mr. Chips",121.53,Nolan and Sons,408,Galven Puttick
With Friends Like These...,42.78,"Kozey, Douglas and Connelly",122,Orella Aleksankin
Downeast,2.87,Daniel Group,268,Maible Bartaletti
One Wonderful Sunday (Subarashiki nichiyobi),7.81,Krajcik and Sons,48,Ertha Raggatt
15,246.3,Pouros and Sons,387,Cymbre Orrick
Blood Ties,131.73,Wolf LLC,236,Aurore Copp
Barbarians at the Gate,3.1,McKenzie-Casper,358,Shannon Krook
Two Moon Junction,252.72,Schneider-Von,436,Molly Ziemen
"Tiger Brigades, The (Les brigades du Tigre)",39.14,Boehm LLC,310,Chaddy Rookes
Rendez-vous,187.88,"Mitchell, King and Kihn",248,Carter Palfree
"Avengers, The",268.71,"Stroman, Rolfson and Davis",374,Leonidas Krysztowczyk
Some Kind of Hero,243.95,Kris-Kerluke,455,Armstrong Ogles
Pure Luck,62.48,Kub-Gorczany,483,Benoit Jzhakov
Outrage,202.59,Lehner-Collins,2,Kaspar Flaherty
"Perfect Fake, A",74.74,Murray Group,469,Cymbre Hammerberger
"Cost of Oil: Voices from the Arctic, The",156.8,Lindgren Inc,450,Josefa Archley
"Hidden Assassin (Shooter, The)",95.67,"Smith, Nitzsche and Yundt",188,Davy Degnen
Three O'Clock High,249.89,Robel-Cruickshank,136,Sean Yewdale
"Man with the Movie Camera, The (Chelovek s kino-apparatom)",199.11,Haley-Herman,167,Amberly Baty
Dead Time: Kala,52.64,Dicki-Renner,498,Georgeanne Marrington
Japanese Story,202.38,Gottlieb-Gislason,262,Erminia Taylorson
Madame Tutli-Putli,31.99,Kling LLC,404,Marie-jeanne Caunce
Mum & Dad,107.6,D'Amore and Sons,287,Amby Finnie
Dante's Inferno: An Animated Epic,159.68,Balistreri Group,354,Baily Exon
"Man Apart, A",14.63,Jerde LLC,430,Merwyn De Filippi
I Like It Like That,297.74,"Witting, Considine and Pouros",197,Nanny Tidmarsh
Innocent Lies,3.98,Bernier Group,130,Rutger Gladdifh
Soldier,78.32,Terry-Nitzsche,477,Daisey Beney
Made for Each Other,10.21,Schinner Inc,15,Brandy Willans
Burning Bright,52.46,Nader-Lubowitz,445,Nilson Steen
"Parade, The (Parada)",91.43,McGlynn-O'Hara,87,Odie Coath
Betsy's Wedding,34.5,Stark and Sons,378,Carlin Bamber
Five Star Final,210.71,"Bode, Little and Hyatt",445,Goddart Sloy
Suzanne's Career (La carrière de Suzanne),107.73,"Spencer, Wilderman and Rodriguez",388,Goraud Marvell
Mitä meistä tuli,201.65,Gulgowski Inc,259,Rebekkah Endrighi
Jimi Hendrix,264.81,Labadie Group,72,Lauren Armitage
Horse Feathers,94.94,Kuhic and Sons,87,Gladys Atack
"Plastic Age, The",141.12,Hyatt LLC,1,Raeann Herrero
Carnegie Hall,142.02,"McClure, Dickinson and Robel",205,Cort Franzini
"Search for One-eye Jimmy, The",58.14,Gleason LLC,344,Franny Blatherwick
Christmas in Conway,108.29,Nitzsche LLC,267,Dan Uvedale
"Doulos, Le",245.17,"Klein, Marks and Olson",454,Hamilton Titta
On the Ropes,72.47,"Jerde, Hand and Hyatt",249,Hilary Norquay
Ella Enchanted,35.4,Strosin-Klein,257,Ad Alexander
Tron: Legacy,131.16,"Bauch, VonRueden and Zieme",37,Salomi Decreuze
Bad Biology,235.98,Rice and Sons,146,Othella Gethyn
Post Tenebras Lux,38.69,"Lakin, Jast and Koch",373,Dionne Diboll
Before Your Eyes (Min Dit: The Children of Diyarbakir),133.46,Jacobson and Sons,128,Pyotr Weblin
"Spy Next Door, The",163.57,"Bode, Conroy and Welch",42,Kipper Gerge
"Sum of Us, The",227.47,Feeney Inc,82,Bartholomeus Bees
"Delicate Balance, A",27.87,"Marvin, Moen and Aufderhar",374,Winnie Farndon
Ranma ½: Nihao My Concubine (Ranma ½: Kessen Tôgenkyô! Hanayome o torimodose!!),289.53,Nolan-Graham,274,Miles Lemonby
9 Star Hotel (Malon 9 Kochavim),89.75,Nikolaus-Gerhold,171,Andras Inger
Blood Night: The Legend of Mary Hatchet (Blood Night),267.62,Hagenes Inc,421,Cristiano Fenna
Samsara,178.83,Tillman-Sauer,200,Bobette Kelcey
Take Me Out to the Ball Game,268.7,Welch Inc,131,Felipe Diperaus
Volunteers,15.1,Turner Group,135,Early Bonnaire
"Dust of Time, The",16.07,"Boyer, Kemmer and Mayert",170,Jodi Boothe
I'm So Excited (Los amantes pasajeros),163.72,D'Amore-Crooks,59,Cati Josephoff
Wake of Death,196.8,"Predovic, Simonis and West",38,Raychel Szantho
Cabin Boy,227.77,"Dickinson, Reilly and Jerde",410,Heidie McCurtin
Home Fries,205.25,Nitzsche and Sons,486,Tootsie Fort
Wrong Cops,100.5,Reynolds LLC,298,Cory Maunsell
Switch,229.61,Bahringer Group,417,Aloysia Connealy
Brass Target,107.59,"Towne, Lynch and Rice",414,Chrisy Sheridan
Dear Jesse,203.88,"Waelchi, Klocko and Denesik",345,Della Laurencot
Musikanten,168.84,Gulgowski-Spencer,204,Winifred Sedgemore
Let the Fire Burn,49.66,Kautzer Inc,197,Gae Mendoza
Racing Stripes,90.0,Cummerata LLC,472,Isidore Licciardello
"Lady of Chance, A",43.6,"Beer, Metz and Langosh",69,Clarice Heller
Titicut Follies,82.34,Davis-Weissnat,451,Inessa Stannis
My Way to Olympia (Mein Weg nach Olympia),224.65,Wyman and Sons,376,Jammal Leitch
42 Up,79.59,"Simonis, Dickens and Jones",212,Cherilyn Banks
"Assignment, The",282.32,Schinner-Fahey,118,Marylinda Tenny
Raid on Rommel,195.99,Murphy and Sons,178,Melantha Overall
"Soldier, The",289.18,Turcotte-Hartmann,145,Ky Logsdail
Vampire Apocalypse,56.61,"Cole, McCullough and Conn",346,Giulio Kauscher
Eddie and the Cruisers,67.7,Hessel-Vandervort,53,Siward Wisdish
Civil Brand,187.7,Denesik-Braun,121,Gonzales Caig
Redline,16.92,Heathcote and Sons,402,Spence Barfitt
"Legend of Boggy Creek, The",195.49,Terry-Grady,407,Cristal Aleixo
"Adjuster, The",140.7,VonRueden-West,435,Bengt Cowup
Kissed,48.23,"Lowe, Raynor and Abernathy",420,Geri Fortnum
Don Jon,194.45,Hamill-Kihn,356,Minetta Gatheral
Greenfingers,234.41,"Hickle, Purdy and Lind",348,Boris Dunkerley
"Definitely, Maybe",147.68,"Ankunding, Maggio and O'Kon",442,Edgard Sellick
"Devil's Eye, The (Djävulens öga)",151.38,Champlin Inc,175,Carma Snalom
"Thing with Two Heads, The",92.01,Frami-Lakin,426,Joby Dreigher
"Karate Kid, Part II, The",69.11,Boehm and Sons,22,Xaviera Staten
C(r)ook (Basta - Rotwein Oder Totsein),31.97,Leffler-Watsica,208,Gus Candie
Patton Oswalt: My Weakness Is Strong,139.23,Stracke Group,56,Adda Surgey
"Russian Specialist, The (Mechanik, The)",251.3,"Pacocha, Waters and McGlynn",436,Prudi Schoolfield
"Keeper, The",178.25,"Lueilwitz, Kiehn and Reichert",299,Murielle Jumel
Postman Blues,165.95,Sanford-Abshire,345,Timothee Wattingham
End of the World,79.48,Frami Group,307,Calli Guswell
Los Marziano,8.67,Bartoletti-Jast,198,Kaila Dionsetto
Scarecrows,253.12,Stracke-Boehm,247,Domingo Foucard
My Afternoons with Margueritte (La tête en friche),175.09,Bauch-Treutel,354,Gael Pinner
Eddie and the Cruisers,288.38,Pollich-Glover,13,Tomaso Gilbee
Soundtracker,294.81,Ritchie Inc,88,Isac Baumadier
Just the Ticket,160.36,"Murray, Jacobs and O'Connell",16,Ignaz Cunde
Trapped in the Closet: Chapters 1-12,161.2,Predovic-Wolff,268,Ancell Blasoni
3096 Days,120.13,"Grimes, Macejkovic and Dare",496,Kendall Pike
Tali-Ihantala 1944,294.06,"Fisher, Farrell and Hammes",54,Gisella Newick
Slow Burn,143.71,Kuhic-Kozey,356,Cheryl Boyton
Nightwatching,90.8,Reichert-Lueilwitz,335,Katherina Seden
"Bad and the Beautiful, The",249.96,"Fadel, Cormier and Carter",124,Nadya Tortoishell
A Night at the Movies: The Suspenseful World of Thrillers,26.18,"Halvorson, Runolfsson and Homenick",285,Kingsley Nardoni
"Last Legion, The",111.3,Runte Inc,470,Elbertine Bare
Salaam Cinema,243.35,Stracke Group,17,Buffy Weightman
Alabama Moon,18.26,"Wolff, Miller and O'Conner",174,Waverly Gitthouse
My Man and I,9.86,Krajcik Inc,351,Nathanial Cole
Interstellar,40.07,Gusikowski-Ryan,315,Libby Matignon
Police Academy: Mission to Moscow,282.6,Funk-Mills,493,Rodi Oakly
"Isle, The (Seom)",42.72,Kunde-Fay,230,Denney Boyle
"Big Sky, The",262.39,Shields-Beier,86,Roxanne Mattschas
Ditirambo,170.0,Kub-Rice,414,Zorah Sherburn
In the Park,95.37,"Kessler, Bashirian and Hills",130,Brett Dunan
Hell Is for Heroes,165.82,Schimmel and Sons,252,Tyson Mayling
Horsemen,296.48,"Bogisich, Treutel and Mitchell",173,Cazzie Gillet
Kanak Attack,245.96,Goldner-Spencer,221,Randie McGettigan
Don't Torture a Duckling (Non si sevizia un paperino),98.54,Will-McGlynn,240,Gina O'Hearn
Laurel Canyon,54.42,"Conn, D'Amore and Veum",2,Paolo Mallabone
War of the Wildcats (In Old Oklahoma),250.17,Connelly and Sons,116,Boone Steabler
"Secret of NIMH 2: Timmy to the Rescue, The",223.65,"Rogahn, Leuschke and Padberg",441,Leupold Dight
Gappa: The Triphibian Monsters (AKA Monster from a Prehistoric Planet) (Daikyojû Gappa),175.82,"Streich, Waelchi and Fadel",272,Lelah Hovee
The Baker's Wife,108.66,"Braun, Schmitt and Tromp",377,Launce Bentham3
Queens Logic,111.56,Streich-Skiles,1,Miriam Fyfe
"Secret Glory, The",270.74,"Cormier, Koss and Nolan",93,Barton Chippindall
To Die Like a Man (Morrer Como Um Homem),267.41,"Becker, Murray and Prosacco",390,Henrietta Vequaud
Comanche Territory (Territorio comanche),143.27,"Skiles, Breitenberg and Bednar",164,Rici Astall
Remember Sunday,61.12,"Walter, Hansen and Bednar",61,Richie Rupprecht
Carbon Nation,93.94,Wilderman and Sons,131,Marylin Gambles
Meu Passado Me Condena: O Filme,84.67,Hauck Group,357,Albertine Monger
After the Reconciliation (Après la réconciliation),51.59,Willms Group,413,Netta Gritsunov
Sink or Swim,159.58,"Wunsch, Larson and Feil",471,Ansley Teffrey
56 Up,37.76,Stracke Group,41,Channa Foulser
Stuart Saves His Family,296.61,"Hills, Stoltenberg and Batz",345,Casey Rocco
"To Do List, The",212.83,Mraz-Smitham,382,Zoe Buckthorp
Oki's Movie (Ok-hui-ui yeonghwa),230.87,Labadie-Grimes,71,Leicester Cornewell
Road Kill (a.k.a. Road Train),3.19,"Keebler, Stroman and Swaniawski",188,Quinton Baroche
Mr. Peabody & Sherman,114.42,Davis-Ortiz,352,Kala Allsepp
"Dirty Shame, A",155.31,Keeling Inc,182,Teodoro Cadigan
Bitter Sweetheart,10.33,Parisian and Sons,449,Gael Dorward
Seven Girlfriends,130.47,"Hagenes, VonRueden and Nikolaus",222,Audrey Woltman
Hot Millions,295.16,"Grimes, Gerlach and Macejkovic",148,Pooh Crandon
Mambo Italiano,106.83,"Daniel, Zieme and Hand",154,Izabel Matchitt
"Misérables, Les",291.15,Stehr-Spencer,22,Ardyth Adamoli
"Nanny Diaries, The",180.96,"Pacocha, Gutmann and Block",220,Erv Goldsberry
"Broadway Melody, The",285.7,Crooks and Sons,13,Harper Canet
Napoleon,280.5,"Lockman, Koepp and Bruen",29,Nataline Toombs
Ringu 0: Bâsudei,32.24,Steuber-Gerhold,148,Dita Cordingly
Gospa,293.68,"Kessler, Kozey and Dickinson",471,Jaymee Coatman
Manufacturing Dissent,142.24,Steuber and Sons,6,Tiffani Vandrill
"American Tail, An",181.61,Wuckert Inc,305,Valentia Pudge
Gagarin: First in Space,37.61,Ruecker Inc,198,Douglass Asling
Wavelength,75.08,"Lemke, Cronin and Cormier",290,Jeniece Budge
Bathing Beauty,149.61,"Kutch, Conn and Reichel",321,Jasper Lanchberry
Just Write,256.08,"Mann, Cassin and Kuvalis",457,Ari Melhuish
American Kickboxer 2 (American Kickboxer 2: To the Death),279.62,"McClure, Beatty and Sawayn",250,Geri Woller
Everest,102.48,Lemke and Sons,473,Hailee Stuehmeier
Loving Annabelle,207.94,Schiller and Sons,320,Sharla Slesser
Hideaway,69.41,"Auer, Grady and Walker",183,Eadmund Domenc
Author! Author!,155.28,"Nienow, McKenzie and Olson",203,Merrill Duthie
Romance & Cigarettes,233.61,Thiel Inc,302,Lilas Ottewill
"November Man, The",36.33,Bosco Inc,299,Normy Leel
Shall We Dance,100.23,Boyle Group,58,Anders Primmer
Kiler,194.8,Walsh-Jacobs,303,Kristien Gerant
"Phantom of the Opera, The",138.94,"Considine, Wisoky and Collier",471,Shepard Doone
Viva Max!,130.5,Hyatt-Bins,332,Farleigh Joye
Endless Love,178.61,"Koss, Spinka and Kuhic",424,Meyer Chasteney
"Rare Breed, The",159.55,Nicolas-Moore,456,Megan MacAdam
"Blue Light, The (Blaue Licht, Das)",199.49,"Schowalter, O'Conner and Parisian",217,Kristina Iltchev
Mommie Dearest,35.79,"Bogisich, Fritsch and Bahringer",4,Waldo Chiechio
This Woman Is Dangerous,134.56,"Marquardt, McClure and Koepp",389,Dorine Beesey
Chinese Take-Out (Chinese Take-Away) (Un cuento chino),263.2,Wisozk Inc,458,Abagail Vernalls
Those Awful Hats,105.56,Rau Inc,394,Liane Delucia
"Rudolph, the Red-Nosed Reindeer",135.15,"Tromp, Kertzmann and Block",231,Ketti Close
Sparrows,33.27,Kreiger LLC,208,Tripp Cosham
Baarìa,28.85,Keeling-Ullrich,453,Jerrie Whitebread
The Police Serve the Citizens?,139.39,"Thiel, Connelly and Bednar",237,Lilia Nethercott
In the Line of Duty: The F.B.I. Murders,122.2,Conn-Schmeler,112,Cynthie Aldwinckle
G@me,79.71,Terry-Sauer,2,Sibylla Laffan
Fall Time,33.42,Mitchell LLC,384,Bailie Lush
Freud: The Secret Passion,141.36,Zboncak Inc,361,Dominique Lomasna
Nick of Time,11.01,"Schultz, Walsh and Powlowski",129,Calley Turbat
Meet Dave,199.35,Bernier LLC,39,Phillipe Pitkeathley
Stille nacht,37.35,Kuvalis-Feest,366,Merle Doge
Snakehead Terror,69.05,"Johns, Roob and Olson",272,Pincas Beckham
Trance,97.98,"Kreiger, Smitham and Schneider",410,Dex Aasaf
"Girl from Monaco, The (fille de Monaco, La)",121.21,"Moen, Becker and Kunze",100,Hattie Stallion
"Breaking Point, The",290.87,"Rohan, Jenkins and Erdman",277,Bunni Townes
"Town Called Hell, A",130.74,Ledner-Bartell,179,Liliane Windley
Forgotten Silver,274.28,DuBuque Inc,333,Andriette Raccio
Moebius Redux: A Life in Pictures,69.09,Adams-Mertz,105,Kip Going
Saw V,248.45,McLaughlin LLC,476,Heidi Butts
Diary of a Shinjuku Thief (Shinjuku dorobo nikki),224.18,Boyer LLC,147,Zebulon Greenman
Enough,263.11,Hoeger and Sons,346,Maximilian Henke
"Two Faces of January, The",9.88,"Schamberger, Hirthe and Nader",192,Erv Sobczak
Azumi,196.15,Altenwerth-Ullrich,42,Tyson Harmes
"Misérables, Les",231.74,Marquardt LLC,70,Roosevelt Gurr
"Perfect Plan, A (Plan parfait, Un)",16.08,Kunze and Sons,6,Richard McGarrie
Diamonds Are Forever,148.72,Pfannerstill and Sons,173,Zonda Rosle
Confessions of a Gangsta,251.01,Wisoky-Weissnat,74,Balduin Bertolin
"Like Sunday, Like Rain",161.64,Senger Inc,442,Helaine Bonnesen
The Prophecy: Forsaken,214.27,Carter-Balistreri,323,Bondon Rivel
Company of Heroes,195.9,Breitenberg-Brekke,441,Riley Cohalan
Judgment at Nuremberg,139.2,Volkman-Fahey,401,Beulah Goldson
Mystery (Fu cheng mi shi),253.42,Gibson-Stoltenberg,201,Mirelle Ducker
Female,235.08,"Gottlieb, Kris and Ortiz",375,Ware Menham
Ride,74.46,Stiedemann-Feeney,53,Ivett Prinn
"Wednesday!, A",271.09,Littel Inc,327,Zondra Thurston
State of Play,79.36,Schmidt LLC,185,Cookie Hacket
Donnie Darko,151.83,"Kessler, West and Hermann",450,Son Gouda
Ishq,75.36,"Hegmann, Huels and Cummings",73,Ketti Such
"Revisionaries, The",273.87,Heller-Nicolas,63,Clara Aronovitz
Dead Silence,215.44,Blanda LLC,26,Bryon Alywin
Lifeforce,87.09,Collier-Mraz,159,Marty Slimmon
Twister,236.03,Reichert Group,9,Malanie Goodbody
Judex,117.38,Heller and Sons,437,Krishnah Salvati
Bones Brigade: An Autobiography,217.82,"Ward, Moen and Ledner",282,Vanny Brownlee
Red White & Blue,267.3,Halvorson LLC,25,Thane Lytell
"Fortune Cookie, The",292.55,"Stoltenberg, Miller and Lakin",472,Dannel Casarili
Bullets Over Broadway,299.08,Kunde Inc,81,Cheri Cloney
Duplicity,220.94,"Steuber, Hegmann and Reichert",275,Rose Galgey
"House, The (A Casa)",151.56,"Mayer, Torp and Hettinger",204,Genovera Hutchason
Father of Invention,242.26,Reichert and Sons,310,Sara-ann Bleesing
Over My Dead Body,153.9,"Hartmann, Stracke and Cummerata",271,Hilton Leeman
It Happened to Jane,251.79,DuBuque Inc,120,Salomon Vause
Charms for the Easy Life,181.15,"Strosin, Turner and Murphy",394,Chaunce Ellershaw
"Bounty, The",174.7,O'Hara Group,73,Barry Shire
Mark of the Vampire,143.03,Franecki-Monahan,31,Mason Vankin
Man of Marble (Czlowiek z Marmuru),163.58,Frami-Kohler,75,Nowell Kleinerman
Little Women,88.98,Botsford-Farrell,296,Esmeralda Esom
The African,283.36,"Bergnaum, Will and Rutherford",389,Vasilis McCaughren
A Follower for Emily,21.11,"Watsica, Stokes and Jacobson",431,Chris Mourton
Suzy,163.76,Huel Inc,186,Gaby Newson
Straight to Hell,169.05,Hilpert and Sons,326,Yoshi Laboune
"Last Kiss, The (Ultimo bacio, L')",140.08,Quitzon Group,260,Wolfgang Cotter
"The Hire: Follow, The",99.98,Parisian Inc,311,Vincenty Flowitt
Miehen tie,84.93,Lubowitz-Rolfson,426,Paulo Crigin
"Sword in the Stone, The",109.86,Stiedemann Group,347,Miran Pieche
"Mother and the Whore, The (Maman et la putain, La)",3.69,Terry Group,289,Bertina Mardell
Juwanna Mann,219.75,"Mertz, Gibson and Wolf",353,Rafaellle Matteini
Luther,157.28,"Conn, Doyle and Fadel",160,Corrina Beavington
Blood for Dracula (Andy Warhol's Dracula),176.41,Grant-Spinka,427,Yorker Sellner
"Rebel, The (Le Rebelle)",259.98,Wilkinson Inc,401,Terrence Lewty
"Code, The",85.55,Kulas LLC,186,Leila Cashen
Resistance,286.46,Ferry-Schoen,448,Maria Noah
Young Cassidy,51.62,"Wisozk, Zemlak and Huel",417,Jeromy Shipperbottom
"Saint, The",96.74,Hammes and Sons,224,Elihu Coveley
3 A.M.,67.94,Mann-Heller,482,Wake Bonifazio
Hit the Bank (Vabank),260.36,Marvin and Sons,452,Rosita Crose
Soulless,290.7,"Glover, Kovacek and Harvey",445,Olly Baudic
White Mountains (Belyie gory),47.71,Wolf Group,247,Rhett Eltone
Endgame,4.28,Aufderhar LLC,149,Bethanne Snedker
"Trou, Le (Hole, The) (Night Watch, The)",99.08,Blanda-Vandervort,305,Krystle Fierman
Moon Over Parador,104.36,Stehr Group,263,Ario Foard
"Ultramarathon Man: 50 Marathons, 50 States, 50 Days",25.05,Kirlin Inc,290,Alameda Radband
Upstream Color,225.62,Treutel-Schaefer,114,Wilbert Gallgher
Focus,293.87,Smith-Schuppe,139,Tandie Tellenbroker
Vive L'Amour (Ai qing wan sui),190.73,"Leuschke, Schaden and Reynolds",9,Alister Foxen
Black Roses ,149.2,"Wehner, Bartell and Tremblay",398,Lyle Eleshenar
"First Nudie Musical, The",215.2,Daniel-Berge,214,Daryl Becraft
Four Lions,229.99,"Witting, Schimmel and Hoeger",408,Cart Melross
Craig's Wife,152.92,Gleason-Bogisich,477,Julieta Nodin
Junior Prom,170.15,Jaskolski Group,89,Rhea Bracci
Piled Higher and Deeper,73.68,Yundt-Bosco,465,Sarette Gask
No Man of Her Own,142.6,Heathcote-Bergnaum,428,Rudie Chastan
"Christmas Carol, A",122.12,Wunsch-Renner,322,Melva MacKean
